Cantico,Canto,Terzetto,Original,Translation
Inferno,1,52,"questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza.","mi causò sùbito dopo tanto sgomento con la paura che incuteva il suo aspetto, che perdetti la speranza di raggiungere la cima del colle."
Inferno,1,55,"E qual è quei che volontieri acquista, e giugne ‘l tempo che perder lo face, che ‘n tutt’i suoi pensier piange e s’attrista;","E come l’avaro, che accumula volentieri e che, giunto il tempo in cui perde la ricchezza accumulata, piange e si rattrista in tutti i suoi pensieri;"
Inferno,1,58,"tal mi fece la bestia sanza pace, che, venendomi ‘ncontro, a poco a poco mi ripigneva là dove ‘l sol tace.","così mi rese la bestia senza pace, la quale, venendomi incontro, a poco a poco mi sospingeva nella selva oscura, dove il sole non penetra."
Inferno,1,61,"Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco.","Mentre ero spinto rovinosamente verso la valle, davanti agli occhi mi apparve uno, che in quel vasto silenzio appariva come un’ombra evanescente."
Inferno,1,64,"Quando vidi costui nel gran diserto, “Miserere di me”, gridai a lui, “qual che tu sii, od ombra od omo certo!”.","Quando lo vidi in quella grande solitudine, «Abbi pietà di me» gli gridai, «chiunque tu sia, ombra o uomo vivo!»."
Inferno,1,67,"Rispuosemi: “Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patria ambedui.","Mi rispose: «Non sono un uomo, ma lo fui un tempo. I miei genitori furono lombardi, ambedue nativi di Mantova."
Inferno,1,70,"Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ‘l buono Augusto nel tempo de li dèi falsi e bugiardi.","Nacqui sotto Giulio Cesare, seppur troppo tardi [per conoscerlo], e vissi a Roma sotto il buon Augusto al tempo degli dei falsi e bugiardi."
Inferno,1,73,"Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ‘l superbo Ilión fu combusto.","Fui poeta e cantai [le imprese] di quel giusto figlio di Anchise , che da Troia venne in Italia, dopo che la superba città fu incendiata."
Inferno,1,76,Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?”.,"Ma tu perché ritorni a tanto affanno ? Perché non sali il dilettoso monte, che è inizio e causa di tanta gioia?»."
Inferno,1,79,"“Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?”, rispuos’io lui con vergognosa fronte.",«Sei tu quel Virgilio e quella fonte che spande un fiume così abbondante di parole?» gli risposi a fronte bassa per la vergogna.
Inferno,1,82,“O de li altri poeti onore e lume vagliami ‘l lungo studio e ‘l grande amore che m’ha fatto cercar lo tuo volume.,"«O decoro e luce degli altri poeti, concèdimi il tuo aiuto in nome del lungo studio e del grande amore, che mi hanno fatto cercare le tue opere."
Inferno,1,85,Tu se’ lo mio maestro e ‘l mio autore; tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ha fatto onore.,"Tu sei il mio maestro e il mio autore. Tu sei il solo da cui appresi lo stile tragico, che mi ha dato la fama."
Inferno,1,88,"Vedi la bestia per cu’ io mi volsi: aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi”.","Vedi la bestia che mi ha fatto volgere indietro. Aiùtami, o saggio famoso, perché essa mi fa tremare le vene ed i polsi!»"
Inferno,1,91,"“A te convien tenere altro viaggio”, rispuose poi che lagrimar mi vide, “se vuo’ campar d’esto loco selvaggio:","«A te conviene prendere un’altra strada» rispose dopo che mi vide in lacrime, «se vuoi uscire da questo luogo selvaggio."
Inferno,1,94,"ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ‘mpedisce che l’uccide;","Questa bestia, che ti costringe a chieder aiuto, non lascia passare alcuno per la sua strada, ma lo ostacola tanto che lo uccide."
Inferno,1,97,"e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ‘l pasto ha più fame che pria.","Ed ha una natura così malvagia e cattiva, che non soddisfa mai la sua sconfinata ingordigia e che, dopo mangiato, ha più fame di prima."
Inferno,1,100,"Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ‘l veltro verrà, che la farà morir con doglia.","Molti sono gli animali con cui si accoppia e ancor di più saranno in futuro, finché verrà il Veltro, che la farà morire con dolore."
Inferno,1,103,"Questi non ciberà terra né peltro, ma sapienza, amore e virtute, e sua nazion sarà tra feltro e feltro.","Questi cercherà non terre né denaro, ma sapienza, amore e virtù, e la sua origine sarà tra feltro e feltro."
Inferno,1,106,"Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute.","Sarà la salvezza di quell’umile Italia, per la quale morirono uccisi la vergine Camilla, Eurialo, Niso e Turno."
Inferno,1,109,"Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ‘nferno, là onde ‘nvidia prima dipartilla.","Questi la caccerà da ogni città, finché l’avrà rimessa nell’inferno, da dove la fece uscire l’invidia [del serpente verso Adamo ed Eva]."
Inferno,1,112,"Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno,","Perciò per il tuo bene penso e giudico che tu mi debba seguire: sarò la tua guida. Ti trarrò di qui attraverso il luogo eterno ,"
Inferno,1,115,"ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida;","dove udrai le grida senza speranza [dei dannati] e vedrai gli spiriti sofferenti degli antichi, che invocano la seconda morte ."
Inferno,1,118,"e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti.","Vedrai coloro che sono contenti di stare nel fuoco [del purgatorio], perché sono sicuri di andare, prima o poi, fra le genti beate."
Inferno,1,121,"A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire;","E, se vorrai salire fra quelle genti [in paradiso], sarai accompagnato da un’anima più degna di me . Ti affiderò a lei, prima di lasciarti,"
Inferno,1,124,"ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ‘n sua città per me si vegna.","perché l’imperatore , che regna lassù, non vuole che io entri nella sua città, poiché fui ribelle alla sua legge."
Inferno,1,127,In tutte parti impera e quivi regge; quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge!”.,"Egli impera su tutto l’universo, ma governa da qui: questa è la sua città e qui sta il suo trono. Oh, felice colui che ammette lassù!»"
Inferno,1,130,"E io a lui: “Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,","Io gli dissi: «O poeta, in nome di quel Dio, che non conoscesti, ti prego di condurmi dove ora dicesti,"
Inferno,1,133,"che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti”.",affinché possa fuggire questo male e peggio . Così potrò vedere la porta di san Pietro e coloro che tu dici tanto mesti ».
Inferno,1,136,"Allor si mosse, e io li tenni dietro.",Allora egli si mosse ed io gli tenni dietro.
Inferno,2,1,"Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro; e io sol uno",Il giorno se n’andava e l’aria bruna toglieva dalle loro fatiche gli esseri viventi che sono sulla terra. Soltanto io
Inferno,2,4,"m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra.","mi preparavo a sostener la guerra sia del cammino sia delle visioni angosciose, che riferirà la mente che non erra."
Inferno,2,7,"O muse, o alto ingegno, or m’aiutate; o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate.","O muse, o alto ingegno, ora aiutàtemi. O memoria che scrivesti ciò che vidi, qui apparirà il tuo valore."
Inferno,2,10,"Io cominciai: “Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi.","Io cominciai: «O poeta che mi guidi, guarda se le mie capacità sono sufficienti, prima che tu mi faccia iniziare quest’arduo viaggio."
Inferno,2,13,"Tu dici che di Silvio il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente.",Tu dici che il padre di Silvio [mentre era] ancora in vita andò nei regni eterni e vi andò con tutti i sensi .
Inferno,2,16,"Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui e ‘l chi e ‘l quale,","Perciò, se l’avversario di ogni male fu cortese con lui, qualora si pensi alle straordinarie conseguenze che dovevano procedere da lui, chi [egli era] e le qualità [che aveva], non appare indegno per un uomo capace di pensare."
Inferno,2,19,non pare indegno ad omo d’intelletto; ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:,Egli fu scelto nell’empìreo come padre di Roma e dell’impero.
Inferno,2,22,"la quale e ‘l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero.",A loro volta Roma e l’impero furono costituiti per diventar il luogo santo ove siede il successore del maggior Pietro .
Inferno,2,25,"Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto.","In questa discesa, per la quale tu lo celebri, ascoltò cose che gli permisero di vincere e che portarono alla sede papale."
Inferno,2,28,"Andovvi poi lo Vas d’elezione, per recarne conforto a quella fede ch’è principio a la via di salvazione.","Vi andò poi il Vaso d’elezione , per portare [dall’oltretomba] un sostegno a quella fede, con cui inizia la via della salvezza."
Inferno,2,31,"Ma io perché venirvi? o chi ‘l concede? Io non Enea, io non Paulo sono: me degno a ciò né io né altri ‘l crede.","Ma io perché debbo venirvi? E chi lo permette? Io non sono Enea, non sono Paolo: né io né altri mi ritiene degno di quest’impresa."
Inferno,2,34,"Per che, se del venire io m’abbandono, temo che la venuta non sia folle. Se’ savio; intendi me’ ch’i’ non ragiono”.","Perciò io, se decido [sconsideratamente] di venire, temo di commettere una follia. Tu sei saggio e capisci meglio di quanto io dico»."
Inferno,2,37,"E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,","E come colui che non vuole più ciò che prima voleva e per nuovi pensieri cambia proposito, tanto che non incomincia più;"
Inferno,2,40,"tal mi fec’io ‘n quella oscura costa, perché, pensando, consumai la ‘mpresa che fu nel cominciar cotanto tosta.","così mi feci io su quella pendice ormai oscura, perché, riflettendo sulle difficoltà, già ponevo termine a quel viaggio, che ero stato così precipitoso ad intraprendere."
Inferno,2,43,"“S’i’ ho ben la parola tua intesa”, rispuose del magnanimo quell’ombra; “l’anima tua è da viltade offesa;","«Se ho ben capito le tue parole» rispose l’ombra di quel grande, «la tua anima è offesa da viltà,"
Inferno,2,46,"la qual molte fiate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra.","la quale molte volte impedisce l’uomo, così che lo distoglie da un’impresa onorata, come una cosa falsamente vista [fa volgere indietro] una bestia, quando piglia spavento."
Inferno,2,49,"Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ‘ntesi nel primo punto che di te mi dolve.","Per liberarti da questo timore, ti dirò perché venni e che cosa ascoltai nel primo momento che provai dolore per te."
Inferno,2,52,"Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi.","Io ero fra coloro che sono sospesi fra la salvezza e la dannazione e mi chiamò una donna tanto beata e bella, che io la pregai di comandarmi."
Inferno,2,55,"Lucevan li occhi suoi più che la stella; e cominciommi a dir soave e piana, con angelica voce, in sua favella:","I suoi occhi brillavano più delle stelle e cominciò a parlare soave e piana, con voce angelica, nella sua lingua:"
Inferno,2,58,"“O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto ‘l mondo lontana,","“O nobile anima mantovana, la cui fama dura ancora nel mondo e durerà a lungo quanto durerà il mondo,"
Inferno,2,61,"l’amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che volt’è per paura;","l’amico mio, e non della fortuna , sul pendìo deserto [di un colle] è così impedito nel cammino, che per la paura si è voltato indietro."
Inferno,2,64,"e temo che non sia già sì smarrito, ch’io mi sia tardi al soccorso levata, per quel ch’i’ ho di lui nel cielo udito.","E temo che si sia già così perso d’animo, che io mi sia mossa troppo tardi a soccorrerlo, per quel che io ho udito di lui in cielo."
Inferno,2,67,"Or movi, e con la tua parola ornata e con ciò c’ha mestieri al suo campare l’aiuta, sì ch’i’ ne sia consolata.","Ora va’ e aiùtalo con le tue parole suadenti e con ciò che serve alla sua salvezza, così che io ne sia consolata."
Inferno,2,70,"I’ son Beatrice che ti faccio andare; vegno del loco ove tornar disio; amor mi mosse, che mi fa parlare.","Io, che ti faccio andare, sono Beatrice e vengo dal luogo in cui desidero tornare. L’amore, che ora mi fa parlare, mi mosse fino a te."
Inferno,2,73,"Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui”. Tacette allora, e poi comincia’ io:","Quando sarò davanti al mio Signore , ti loderò spesso [per quel che farai]». Poi tacque. Io così le risposi:"
Inferno,2,76,"“O donna di virtù, sola per cui l’umana spezie eccede ogne contento di quel ciel c’ha minor li cerchi sui,","“O donna piena di quella virtù , che permette all’uomo di superare ogni essere contenuto in quel cielo che compie i giri più piccoli ,"
Inferno,2,79,"tanto m’aggrada il tuo comandamento, che l’ubidir, se già fosse, m’è tardi; più non t’è uo’ ch’aprirmi il tuo talento.","il tuo comando mi è tanto gradito, che l’ubbidirti, se già fosse attuato, sarebbe lento. Non devi far altro che esprimermi i tuoi desideri."
Inferno,2,82,Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l’ampio loco ove tornar tu ardi”.,"Ma dimmi perché non temi di scendere quaggiù , in questo centro dell’ampio luogo , in cui desideri intensamente tornare”."
Inferno,2,85,"“Da che tu vuo’ saver cotanto a dentro, dirotti brievemente”, mi rispuose, “perch’io non temo di venir qua entro.","“Poiché tu vuoi sapere le cose tanto a fondo” mi rispose, “ti dirò brevemente perché non temo di venire qui dentro."
Inferno,2,88,"Temer si dee di sole quelle cose c’hanno potenza di fare altrui male; de l’altre no, ché non son paurose.","Si devono temere solamente quelle cose che sono capaci di farci del male, non le altre, che perciò non fanno paura."
Inferno,2,91,"I’ son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d’esto incendio non m’assale.","Dio per la sua grazia mi ha fatto tale, che la vostra infelicità non mi commuove, né il fuoco di questo incendio mi reca danno."
Inferno,2,94,"Donna è gentil nel ciel che si compiange di questo ‘mpedimento ov’io ti mando, sì che duro giudicio là sù frange.","In cielo una donna gentile ha compassione di questo impedimento dove io ti mando, così lassù ella spezza il severo giudizio divino."
Inferno,2,97,"Questa chiese Lucia in suo dimando e disse: – Or ha bisogno il tuo fedele di te, e io a te lo raccomando –.",Questa si rivolse a Lucia e disse: – Il tuo devoto ha ora bisogno di te. Io te lo raccomando –.
Inferno,2,100,"Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov’i’ era, che mi sedea con l’antica Rachele.","Lucia, nemica di ogni crudeltà, si mosse e venne al luogo in cui sedevo con l’antica Rachele."
Inferno,2,103,"Disse: – Beatrice, loda di Dio vera, ché non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera?","Disse: – O Beatrice, vera lode di Dio, perché non soccorri colui che ti amò tanto e che, per aver amato te, uscì fuori della schiera del volgo?"
Inferno,2,106,non odi tu la pieta del suo pianto? non vedi tu la morte che ‘l combatte su la fiumana ove ‘l mar non ha vanto? –,"Non odi l’angoscia delle sue lacrime? Non vedi la lotta mortale che combatte nella selva oscura, più pericolosa del mare? –."
Inferno,2,109,"Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com’io, dopo cotai parole fatte,","Al mondo non ci furono mai persone così veloci a cercare il proprio utile o a schivare il proprio danno, come [fui veloce] io dopo che mi furono dette tali parole."
Inferno,2,112,"venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch’onora te e quei ch’udito l’hanno”.","Venni quaggiù dal mio beato seggio, confidando nella tua parola sapiente, che onora te e chi l’ascolta.”"
Inferno,2,115,"Poscia che m’ebbe ragionato questo, li occhi lucenti lagrimando volse; per che mi fece del venir più presto;","Dopo che mi ebbe dette queste parole, volse gli occhi lucenti pieni di lacrime, perciò mi feci più rapido nel venire."
Inferno,2,118,e venni a te così com’ella volse; d’inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse.,"Venni da te, come ella volle, e ti sottrassi al pericolo di quella fiera, che t’impedì il cammino più breve verso il bel monte."
Inferno,2,121,"Dunque: che è? perché, perché restai? perché tanta viltà nel core allette? perché ardire e franchezza non hai?","Dunque, che c’è? Perché, perché ti fermi? PerPerché accogli nel tuo cuore tanta viltà? Perché non hai coraggio né sicurezza"
Inferno,2,124,"poscia che tai tre donne benedette curan di te ne la corte del cielo, e ‘l mio parlar tanto ben ti promette?”.",dopo che tre donne benedette si curan di te nella corte celeste e dopo che le mie parole ti promettono un bene così grande?»
Inferno,2,127,"Quali fioretti dal notturno gelo chinati e chiusi, poi che ‘l sol li ‘mbianca si drizzan tutti aperti in loro stelo,","Come i fiorellini [di campo], chinàti e richiusi per il gelo notturno, dopo che il sole li illumina, si alzano tutti aperti sul loro stelo,"
Inferno,2,130,"tal mi fec’io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch’i’ cominciai come persona franca:","tale mi feci io con il mio ardore stanco; e tanto il buon ardire mi corse per il cuore, che cominciai come una persona sicura:"
Inferno,2,133,“Oh pietosa colei che mi soccorse! e te cortese ch’ubidisti tosto a le vere parole che ti porse!,«O pietosa colei che mi soccorse e cortese tu che ubbidisti sùbito alle parole veritiere che ti disse!
Inferno,2,136,"Tu m’hai con disiderio il cor disposto sì al venir con le parole tue, ch’i’ son tornato nel primo proposto.","Tu con le tue parole mi hai fatto provare un tale desiderio di venire, che son tornato nel primo proposito."
Inferno,2,139,"Or va, ch’un sol volere è d’ambedue: tu duca, tu segnore, e tu maestro”. Così li dissi; e poi che mosso fue,","Ora va’, perché una volontà sola è in entrambi: tu sei la mia guida, tu il signore, tu il maestro». Così gli dissi. E, dopo che si mosse,"
Inferno,2,142,intrai per lo cammino alto e silvestro.,m’inoltrai per il cammino aspro e selvaggio.
Inferno,3,1,"“PER ME SI VA NE LA CITTÀ DOLENTE, PER ME SI VA NE L’ETTERNO DOLORE, PER ME SI VA TRA LA PERDUTA GENTE.","PER ME SI VA NELLA CITTÀ CHE SI LAMENTA, PER ME SI VA NEL DOLORE ETERNO, PER ME SI VA TRA LA GENTE DANNATA."
Inferno,3,4,"GIUSTIZIA MOSSE IL MIO ALTO FATTORE: FECEMI LA DIVINA PODESTATE, LA SOMMA SAPIENZA E ‘L PRIMO AMORE.","LA GIUSTIZIA MOSSE IL MIO SOMMO CREATORE: MI FECE LA DIVINA POTENZA, LA SOMMA SAPIENZA E IL PRIMO AMORE."
Inferno,3,7,"DINANZI A ME NON FUOR COSE CREATE SE NON ETTERNE, E IO ETTERNO DURO. LASCIATE OGNE SPERANZA, VOI CH’INTRATE”.","PRIMA DI ME FURONO CREATE SOLTANTO COSE ETERNE ED IO DURERÒ ETERNAMENTE. LASCIATE OGNI SPERANZA, VOI CHE ENTRATE."
Inferno,3,10,"Queste parole di colore oscuro vid’io scritte al sommo d’una porta; per ch’io: “Maestro, il senso lor m’è duro”.","Queste parole di colore scuro io vidi scritte sopra una porta, perciò dissi: «O maestro, il loro significato mi è duro»."
Inferno,3,13,"Ed elli a me, come persona accorta: “Qui si convien lasciare ogne sospetto; ogne viltà convien che qui sia morta.","Da persona esperta, egli mi rispose: «Qui convien lasciare ogni dubbio, convien che ogni viltà sia morta."
Inferno,3,16,Noi siam venuti al loco ov’i’ t’ho detto che tu vedrai le genti dolorose c’hanno perduto il ben de l’intelletto”.,"Siamo giunti in quel luogo in cui ti ho detto che vedrai le anime dei dannati, che hanno perduto il bene dell’intelletto »."
Inferno,3,19,"E poi che la sua mano a la mia puose con lieto volto, ond’io mi confortai, mi mise dentro a le segrete cose.","Poi mi prese per mano con volto sereno, perciò io mi ripresi, e m’introdusse nei segreti impenetrabili [dell’oltretomba]."
Inferno,3,22,"Quivi sospiri, pianti e alti guai risonavan per l’aere sanza stelle, per ch’io al cominciar ne lagrimai.","Qui sospiri, pianti ed alti gemiti risuonavano per l’aria senza stelle. Al sentirli, io mi misi a piangere."
Inferno,3,25,"Diverse lingue, orribili favelle, parole di dolore, accenti d’ira, voci alte e fioche, e suon di man con elle","Lingue strane, espressioni orribili, parole di dolore, accenti di rabbia, voci alte e basse e suoni di mani che colpiscono"
Inferno,3,28,"facevano un tumulto, il qual s’aggira sempre in quell’aura sanza tempo tinta, come la rena quando turbo spira.","facevano un tumulto, che si aggira sempre in quell’aria eternamente oscura, come la sabbia quando spira il turbine."
Inferno,3,31,"E io ch’avea d’error la testa cinta, dissi: “Maestro, che è quel ch’i’ odo? e che gent’è che par nel duol sì vinta?”.","Io, che avevo la testa piena di dubbi, dissi: «O maestro, che cos’è questo tumulto che io odo? Chi è questa gente, che appare così sopraffatta dal dolore?»."
Inferno,3,34,Ed elli a me: “Questo misero modo tegnon l’anime triste di coloro che visser sanza ‘nfamia e sanza lodo.,Ed egli a me: «A questa miserabile condizione sono condannate le anime spregevoli di coloro che vissero senza infamia e senza lode.
Inferno,3,37,"Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro.","Sono mescolate a quella cattiva schiera degli angeli che non furono ribelli e neppure fedeli a Dio, ma che rimasero neutrali."
Inferno,3,40,"Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch’alcuna gloria i rei avrebber d’elli”.","Li cacciano i cieli, per non esser meno belli, ma non li accoglie l’inferno profondo, perché i dannati si potrebbero gloriare di averli come loro compagni»."
Inferno,3,43,"E io: “Maestro, che è tanto greve a lor, che lamentar li fa sì forte?”. Rispuose: “Dicerolti molto breve.","Ed io: «O maestro, che cos’è per loro tanto insopportabile, che li fa lamentare così fortemente?». Mi rispose: «Te lo dirò molto brevemente."
Inferno,3,46,"Questi non hanno speranza di morte e la lor cieca vita è tanto bassa, che ‘nvidiosi son d’ogne altra sorte.","Costoro non possono sperare di morire e la loro vita oscura è tanto spregevole, che sono invidiosi di ogni altra condizione."
Inferno,3,49,"Fama di loro il mondo esser non lassa; misericordia e giustizia li sdegna: non ragioniam di lor, ma guarda e passa”.","Il mondo non permette che si conservi alcun ricordo di loro; la misericordia e la giustizia divina li sdegnano: non ragioniamo di loro, ma guarda e passa»."
Inferno,3,52,"E io, che riguardai, vidi una ‘nsegna che girando correva tanto ratta, che d’ogne posa mi parea indegna;","Guardando più attentamente, vidi un’insegna che, girando, correva tanto veloce, che sembrava incapace di restar ferma."
Inferno,3,55,"e dietro le venìa sì lunga tratta di gente, ch’i’ non averei creduto che morte tanta n’avesse disfatta.","Dietro le veniva una così lunga processione di gente, che non avrei creduto che la morte avesse fatto tante vittime."
Inferno,3,58,"Poscia ch’io v’ebbi alcun riconosciuto, vidi e conobbi l’ombra di colui che fece per viltade il gran rifiuto.","Dopo che ebbi riconosciuto qualcuno, vidi e conobbi l’ombra di colui che fece per viltà il gran rifiuto ."
Inferno,3,61,"Incontanente intesi e certo fui che questa era la setta d’i cattivi, a Dio spiacenti e a’ nemici sui.","Immediatamente compresi e fui certo che questa era la schiera dei cattivi, che dispiacevano a Dio e ai suoi nemici."
Inferno,3,64,"Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch’eran ivi.","Questi sciagurati, che non furon mai vivi, erano ignudi e continuamente punti da mosconi e da vespe, che erano in quel luogo."
Inferno,3,67,"Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a’ lor piedi da fastidiosi vermi era ricolto.","Esse rigavano il loro volto di sangue, che, mescolato a lacrime, ai loro piedi era raccolto da vermi ripugnanti."
Inferno,3,70,"E poi ch’a riguardar oltre mi diedi, vidi genti a la riva d’un gran fiume; per ch’io dissi: “Maestro, or mi concedi","Dopo che guardai oltre costoro, vidi una moltitudine di gente sulla riva di un gran fiume , perciò dissi: «O maestro, concèdimi ora"
